id,date,content,username,likecount,retweetcount,replycount,typeofphone,languge
1602616326463393794,2022-12-13 10:48:02+00:00,"Quand Dadis prend la parole 😩

#TL224 #ProcesDu28Sept #DadisEstUnMenteur https://t.co/EBaxe1nwB9",SyllaPoutine,12,3,2,Twitter for iPhone,fr
1602615159738048512,2022-12-13 10:43:23+00:00,"Le commandant du regima 
#ProcesDu28Sept https://t.co/jnM4U3MqRN",GMeurtri,6,2,1,Twitter for Android,fr
1602614910634147841,2022-12-13 10:42:24+00:00,"Ah Dadis parler clairement de son parcours universitaire aussi c'est devenu calvaire 🤷🏾‍♂️🤦🏾‍♂️😭
#ProcesDu28Sept",NfalyTraaore,4,2,0,Twitter for Android,fr
1602614806439202817,2022-12-13 10:41:59+00:00,"Dadis se croit impolis 🤣🤣🤣
#ProcesDu28Sept",Marwane7M,0,0,0,Twitter for Android,fr
1602613660601536512,2022-12-13 10:37:26+00:00,"L’expression excitée comme une femme en lunette prend tout son sens ce matin. 

#ProcesDu28Sept",Architectekallo,3,0,3,Twitter for iPhone,fr
1602612191248654336,2022-12-13 10:31:36+00:00,"Arrêter ce procès Dadis est entrain de mentir aux guinéens 

#ProcesDu28Sept",ssintaly,22,3,7,Twitter for iPhone,fr
1602612068938649600,2022-12-13 10:31:06+00:00,Il ne pourra jamais s’en sortir même s’il était innocent le pauvre 😭😭 #ProcesDu28Sept,douxAlphaa,1,1,0,Twitter for iPhone,fr
1602612049355456512,2022-12-13 10:31:02+00:00,Dadis comment il divague trop 🤦🏾‍♂️ #ProcesDu28Sept,bafodedr1,0,0,0,Twitter for iPhone,fr
1602611720173899776,2022-12-13 10:29:43+00:00,"Ca pète pas la forme chez Dadis ce matin !
#ProcesDu28Sept",elhadjbah91,1,0,0,Twitter Web App,fr
1602611334906056704,2022-12-13 10:28:11+00:00,Me Lanciné Sylla : “Dadis n’aurait jamais eu le pouvoir si Toumba ne faisait pas partie” https://t.co/UkG32m1uZF #Kibaro #TuesdayMotivaton #ProcesDu28Sept https://t.co/2pmcbITPE1,VisionGuinee,1,0,0,Twitter for Android,fr
1602610669488054273,2022-12-13 10:25:33+00:00,Toujours pas de cohérence. Comment peut-on penser qu’une population qui se réunit au stade pour manifester contre ta politique peut-elle avoir de la sympathie pour toi? @espace_gg #ProcesDu28Sept #Guinee,Ruchndongsima,0,0,0,Twitter for iPhone,fr
1602610268944896005,2022-12-13 10:23:57+00:00,"À cette allure, je prends 2 semaines de congé pour ecouter Dadis CAMARA

#ProcesDu28Sept",juniorkaba,1,0,0,Twitter for iPhone,fr
1602610139357388802,2022-12-13 10:23:26+00:00,"Mais Dadis a quoi encore ce matin 😂😂😂 @Noumou29 il répond pas à la question posée !
#ProcesDu28Sept",Adamademariam,1,1,1,Twitter for iPhone,fr
1602609420751753216,2022-12-13 10:20:35+00:00,#ProcesDu28Sept https://t.co/zOH2hqVk6e,NfabanaDiane,0,0,0,Twitter for Android,qht
1602608784718925824,2022-12-13 10:18:03+00:00,"Dadis on ne comprend rien 
#ProcesDu28Sept",NfabanaDiane,0,0,0,Twitter for Android,en
1602607693226807296,2022-12-13 10:13:43+00:00,"Il n'a pas la voix = ö djoulaali soubaka 😅

#ProcesDu28Sept",MonsieurWangrin,1,0,1,Twitter for Android,fr
1602605542433759232,2022-12-13 10:05:10+00:00,Nous ont n'a entendu que Le capitaine Dadis est le grand frére de papa koly kourouma  #ProcesDu28Sept ont n'a  du  mal à comprendre https://t.co/C5BLy96JDk,AbdoulD41985789,1,0,0,Twitter for Android,fr
1602604319043264512,2022-12-13 10:00:19+00:00,🔴 Procès du 28 Septembre - Audience du 13 Décembre - J29 • ESPACE TV GUINEE  #ProcesDu28Sept @espaceTV_gn @LamineGuirassy https://t.co/Cl9uruOeoD,espaceTV_gn,5,2,1,Twitter Media Studio,fr
